code,name,price,cjb30,b30v100,veab,precip,m5,m10,m20,mainflow,jumbo,small,vol,lv,sig,phase,mode,matching,grade,greason,score
600361,创新新材,3.75,6.5,0.98,28.0,-0.56,-5967529,-9535101,-38959918,12530767,7841529,-12176012,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.2
600362,江西铜业,48.35,-1.2,3.05,-4.7,2.84,545625953,902387647,176004596,-230997159,-222504070,93181244,缩量,低,情绪退潮,观望,趋势转多型,,D,回避：资金观望,0.9
600363,联创光电,16.37,-51.0,2.93,-41.6,-7.64,-209637146,-520771709,-992366966,-65178458,-31345234,66716931,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-2.5
600367,红星发展,40.96,-26.5,4.74,104.6,3.86,540315794,945252864,998180228,-84899257,-88337072,83776578,缩量,低,情绪退潮,观望,主力建仓型,,D,回避：资金观望,1.3
600366,宁波韵升,11.65,-79.2,7.16,-39.0,-0.32,-5572455,-135803590,-249775067,-28600642,-16978481,25601257,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.1
600369,西南证券,4.12,-37.7,1.41,10.9,-0.71,-5133817,-30135912,7118084,-4295392,-8750183,2828368,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.2
600372,中航机载,11.22,-52.2,1.06,-18.8,0.93,10438931,-140070898,-274261782,-20587854,-17959693,17285029,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.3
600373,中文传媒,7.28,47.6,1.49,-21.0,-6.33,-26171158,-15567251,-23582969,-105170,1161648,-3671355,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-2.1
600375,汉马科技,3.83,-34.4,1.57,-22.3,-5.14,-15984739,-3088993,-54024380,-15992405,-17129763,10867745,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.7
600368,五洲交通,4.34,188.2,1.42,91.2,6.65,66670278,64105937,118178926,-3024459,-5205648,2248557,放量,中,主力偏强放量,进场,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,90.2
600371,万向德农,12.69,433.0,0.44,438.6,23.15,289021054,288205159,284273282,59014845,67481613,-30393946,放量,高,主力主导放量🔥(最强),吸筹,资金观望型,资金+业绩共振(双击候选),A,金股候选：资金强攻+业绩共振,89
600380,健康元,9.23,-17.0,0.85,13.9,1.96,15735533,-39084637,-88352865,-7577806,-10345454,-17128439,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.7
600378,昊华科技,52.83,35.8,19.73,-14.7,2.91,443340333,76935846,296139618,-313572176,-520671390,-44929117,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,1.0
600379,宝光股份,14.58,-35.0,5.43,-8.2,-10.77,-160634941,-105727496,9414591,-5241437,872024,49971354,缩量,低,情绪退潮,观望,高位分歧型,,D,回避：资金观望,-3.6
600388,紫金龙净,18.15,-36.9,1.08,-13.9,2.25,25022300,60737312,87282729,-11587413,-5342776,-1048299,缩量,低,情绪退潮,观望,主力建仓型,,D,回避：资金观望,0.8
600389,江山股份,18.91,-8.1,0.79,-13.3,-2.02,-23966828,-16021737,-49847417,10653856,3416152,-19201403,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.7
600390,五矿资本,5.02,8.0,1.34,45.5,-4.15,-55472429,-86093093,-142844444,8516029,-5192787,-24389849,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.4
600376,首开股份,3.48,75.2,0.97,-47.6,-3.84,-51513795,-142712379,-227451548,19013303,29844754,-4591524,放量,低,游资情绪,抢筹,资金撤退型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,26.7
600377,宁沪高速,12.43,17.4,1.03,15.4,2.23,16692626,18836224,4352517,3620649,12264644,11424341,缩量,低,情绪退潮,进场,趋势转多型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,72.7
600382,广东明珠,6.52,-57.1,1.32,-4.4,1.34,6111475,-24247657,-65676601,553213,-1449128,185714,缩量,低,情绪退潮,进场,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,72.4
600392,盛和资源,23.21,-72.6,2.87,-45.6,-0.88,-53169675,-368031187,-489384313,15537754,32700788,23375929,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.3
600383,金地集团,2.26,170.8,1.11,8.3,1.75,18733179,74521257,25772386,25062178,13886046,-33562802,放量,低,游资情绪,抢筹,趋势转多型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,28.6
600396,华电辽能,13.74,-53.0,1.41,-49.7,-3.65,-393052176,-947995084,-1313537496,-65417032,-12664999,147330864,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.2
600395,盘江股份,5.94,187.3,0.78,43.7,-1.83,-25023072,-99291200,-117236757,-24180967,-13353358,15438903,放量,低,游资情绪,观望,资金撤退型,,D,回避：资金撤退,7.4
600386,北巴传媒,3.5,-4.2,0.88,-10.3,4.2,5483791,4941349,11487607,959210,-624600,1621250,缩量,低,情绪退潮,进场,资金观望型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,13.4
600397,江钨装备,19.14,-11.5,3.98,-16.4,3.05,288308193,544212666,1238187289,-39292611,-31160063,103275520,缩量,低,情绪退潮,观望,主力建仓型,,D,回避：资金观望,1.0
600398,海澜之家,5.92,73.3,0.46,-2.0,-0.8,-6601905,1067685,-19163354,-626905,-3220210,-20483126,放量,低,游资情绪,观望,资金观望型,,D,回避：资金观望,7.7
600400,红豆股份,2.91,-35.6,4.37,-3.4,-13.69,-80779491,-85368295,-145546311,-7859288,-5817081,17574,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-4.6
