code,name,industry
sz000672,上峰材料,建筑材料
sz000676,智度股份,传媒
sz000678,襄阳轴承,汽车
sz000679,大连友谊,商贸零售
sz000680,山推股份,机械设备
sz000681,视觉中国,传媒
sz000682,东方电子,电力设备
sz000683,博源化工,基础化工
sz000685,中山公用,环保
sz000686,东北证券,非银金融
sz000688,国城矿业,有色金属
sz000690,宝新能源,公用事业
sz000691,亚太实业,基础化工
sz000692,惠天热电,公用事业
sz000695,滨海能源,电力设备
sz000697,炼石航空,国防军工
sz000700,模塑科技,汽车
sz000701,厦门信达,商贸零售
sz000702,正虹科技,农林牧渔
sz000703,恒逸石化,石油石化
sz000705,浙江震元,医药生物
sz000707,双环科技,基础化工
sz000708,中信特钢,钢铁
sz000709,河钢股份,钢铁
sz000710,贝瑞基因,医药生物
sz000711,京蓝科技,环保
sz000712,锦龙股份,非银金融
sz000713,国投丰乐,农林牧渔
sz000715,中兴商业,商贸零售
sz000716,黑芝麻,食品饮料
sz000717,中南股份,钢铁
sz000718,苏宁环球,房地产
sz000719,中原传媒,传媒
sz000720,新能泰山,电力设备
sz000721,西安饮食,社会服务
sz000722,湖南发展,公用事业
sz000723,美锦能源,煤炭
sz000725,京东方Ａ,电子
sz000726,鲁  泰Ａ,纺织服饰
sz000727,冠捷科技,电子
sz000728,国元证券,非银金融
sz000729,燕京啤酒,食品饮料
sz000731,四川美丰,基础化工
sz000733,振华科技,国防军工
sz000735,罗 牛 山,农林牧渔
sz000736,中交发展,房地产
sz000737,北方铜业,有色金属
sz000738,航发控制,国防军工
sz000739,普洛药业,医药生物
sz000748,长城信息,-
sz000750,国海证券,非银金融
sz000751,锌业股份,有色金属
sz000753,漳州发展,综合
sz000755,山西高速,交通运输
sz000756,新华制药,医药生物
sz000757,浩物股份,汽车
sz000758,中色股份,有色金属
sz000759,中百集团,商贸零售
sz000761,本钢板材,钢铁
sz000762,西藏矿业,有色金属
sz000763,锦州石化,-
sz000766,通化金马,医药生物
sz000767,晋控电力,公用事业
sz000768,中航西飞,国防军工
sz000776,广发证券,非银金融
sz000777,中核科技,机械设备
sz000778,新兴铸管,钢铁
sz000779,甘咨询,建筑装饰
sz000782,恒申新材,基础化工
sz000783,长江证券,非银金融
sz000785,居然智家,商贸零售
sz000786,北新建材,建筑材料
sz000788,北大医药,医药生物
sz000789,万年青,建筑材料
sz000790,华神科技,医药生物
sz000791,甘肃能源,公用事业
sz000792,盐湖股份,基础化工
sz000795,英洛华,有色金属
sz000796,凯撒旅业,社会服务
sz000797,中国武夷,房地产
sz000798,中水渔业,农林牧渔
sz000799,酒鬼酒,食品饮料
sz000800,一汽解放,汽车
sz000801,四川九洲,家用电器
sz000802,北京文化,传媒
sz000803,山高环能,环保
sz000807,云铝股份,有色金属
sz000809,和展能源,电力设备
sz000810,创维数字,家用电器
sz000811,冰轮环境,机械设备
sz000812,陕西金叶,轻工制造
sz000813,德展健康,医药生物
sz000815,美利云,计算机
sz000816,智慧农业,汽车
sz000817,辽河油田,-
sz000818,航锦科技,基础化工
sz000819,岳阳兴长,石油石化
sz000820,神雾节能,环保
sz000822,山东海化,基础化工
sz000823,超声电子,电子
sz000825,太钢不锈,钢铁
sz000828,东莞控股,交通运输
sz000829,天音控股,商贸零售
sz000830,鲁西化工,基础化工
sz000831,中国稀土,有色金属
sz000833,粤桂股份,综合
sz000837,秦川机床,机械设备
sz000839,国安股份,通信
sz000848,承德露露,食品饮料
sz000850,华茂股份,纺织服饰
sz000852,石化机械,机械设备
sz000856,冀东装备,机械设备
sz000858,五 粮 液,食品饮料
sz000859,国风新材,基础化工
sz000860,顺鑫农业,食品饮料
sz000861,海印股份,-
sz000862,银星能源,公用事业
sz000863,三湘印象,房地产
sz000866,扬子石化,-
sz000868,安凯客车,汽车
sz000869,张  裕Ａ,食品饮料
sz000875,电投绿能,公用事业
sz000876,新 希 望,农林牧渔
sz000877,天山股份,建筑材料
sz000878,云南铜业,有色金属
sz000880,潍柴重机,机械设备
sz000881,中广核技,基础化工
sz000882,华联股份,商贸零售
sz000883,湖北能源,公用事业
sz000885,城发环境,环保
sz000886,海南高速,交通运输
sz000887,中鼎股份,汽车
sz000888,峨眉山Ａ,社会服务
sz000889,中嘉博创,通信
sz000890,法尔胜,环保
sz000892,欢瑞世纪,传媒
sz000893,亚钾国际,基础化工
sz000895,双汇发展,食品饮料
sz000897,津滨发展,房地产
sz000898,鞍钢股份,钢铁
sz000899,赣能股份,公用事业
sz000900,现代投资,交通运输
sz000901,航天科技,汽车
sz000902,新洋丰,基础化工
sz000905,厦门港务,交通运输
sz000906,浙商中拓,交通运输
sz000908,石药景峰,医药生物
sz000910,大亚圣象,轻工制造
sz000912,泸天化,基础化工
sz000913,钱江摩托,汽车
sz000915,华特达因,医药生物
sz000916,华北高速,-
sz000917,电广传媒,传媒
sz000919,金陵药业,医药生物
sz000920,沃顿科技,基础化工
sz000921,海信家电,家用电器
sz000922,佳电股份,电力设备
sz000923,河钢资源,钢铁
sz000925,众合科技,机械设备
sz000926,福星股份,房地产
sz000927,中国铁物,机械设备
sz000928,中钢国际,建筑装饰
sz000929,兰州黄河,食品饮料
sz000930,中粮科技,农林牧渔
sz000931,中 关 村,医药生物
sz000932,华菱钢铁,钢铁
sz000933,神火股份,有色金属
sz000935,四川双马,非银金融
sz000936,华西股份,基础化工
sz000937,冀中能源,煤炭
sz000938,紫光股份,计算机
sz000948,南天信息,计算机
sz000949,新乡化纤,基础化工
sz000950,重药控股,医药生物
sz000951,中国重汽,汽车
sz000952,广济药业,医药生物
sz000953,中哲精化,医药生物
sz000955,欣龙控股,纺织服饰
sz000956,中原油气,-
sz000957,中通客车,汽车
sz000958,电投产融,公用事业
sz000959,首钢股份,钢铁
sz000960,锡业股份,有色金属
sz000962,东方钽业,有色金属
sz000963,华东医药,医药生物
sz000965,天保基建,房地产
sz000966,长源电力,公用事业
sz000967,盈峰环境,环保
sz000968,蓝焰控股,石油石化
sz000969,安泰科技,有色金属
sz000970,中科三环,有色金属
sz000972,中基健康,农林牧渔
sz000973,佛塑科技,基础化工
sz000975,山金国际,有色金属
sz000977,浪潮信息,计算机
sz000978,桂林旅游,社会服务
sz000980,众泰汽车,汽车
sz000981,山子高科,汽车
sz000982,中银绒业,-
sz000983,山西焦煤,煤炭
sz000985,大庆华科,石油石化
sz000987,越秀资本,非银金融
sz000988,华工科技,机械设备
sz000989,九芝堂,医药生物
sz000990,诚志股份,基础化工
sz000991,通海高科,-
sz000993,闽东电力,公用事业
sz000995,皇台酒业,食品饮料
sz000997,新 大 陆,计算机
sz000998,隆平高科,农林牧渔
sz000999,华润三九,医药生物
sz001201,东瑞股份,农林牧渔
sz001202,炬申股份,交通运输
sz001203,大中矿业,钢铁
sz001205,盛航股份,交通运输
sz001206,依依股份,美容护理
sz001207,联科科技,基础化工
sz001208,华菱线缆,电力设备
sz001209,洪兴股份,纺织服饰
sz001210,金房能源,公用事业
sz001211,双枪科技,轻工制造
sz001212,中旗新材,建筑材料
sz001213,中铁特货,交通运输
sz001215,千味央厨,食品饮料
sz001216,华瓷股份,轻工制造
sz001217,华尔泰,基础化工
sz001218,丽臣实业,基础化工
sz001219,青岛食品,食品饮料
sz001220,世盟股份,交通运输
sz001221,悍高集团,轻工制造
sz001222,源飞宠物,轻工制造
sz001223,欧克科技,机械设备
sz001225,和泰机电,机械设备
sz001226,拓山重工,机械设备
sz001227,兰州银行,银行
sz001228,永泰运,交通运输
sz001229,魅视科技,计算机
sz001230,劲旅环境,环保
sz001231,农心科技,基础化工
sz001232,嘉立创,电子
sz001233,海安集团,汽车
sz001234,泰慕士,纺织服饰
sz001235,无效里得,-
sz001236,弘业期货,非银金融
sz001237,惠康科技,机械设备
sz001238,浙江正特,轻工制造
sz001239,永达股份,机械设备
sz001246,力勤资源,-
sz001248,华润新能源,公用事业
sz001255,博菲电气,基础化工
sz001256,炜冈科技,机械设备
sz001257,盛龙股份,有色金属
sz001258,立新能源,公用事业
sz001259,利仁科技,家用电器
sz001260,坤泰股份,汽车
sz001266,宏英智能,机械设备
sz001267,汇绿生态,通信
sz001268,联合精密,家用电器
sz001269,欧晶科技,电力设备
sz001270,铖昌科技,国防军工
sz001277,速达股份,机械设备
sz001278,一彬科技,汽车
sz001279,强邦新材,轻工制造
sz001280,中国铀业,有色金属
sz001282,三联锻造,汽车
sz001283,豪鹏科技,电力设备
sz001285,瑞立科密,汽车
sz001286,陕西能源,公用事业
sz001287,中电港,电子
sz001288,运机集团,机械设备
sz001289,龙源电力,公用事业
sz001296,长江材料,基础化工
sz001298,好上好,电子
sz001299,美能能源,公用事业
sz001300,三柏硕,轻工制造
sz001301,尚太科技,电力设备
sz001306,夏厦精密,机械设备
sz001308,康冠科技,电子
sz001309,德明利,电子
sz001311,多利科技,汽车
sz001312,福恩股份,纺织服饰
sz001313,粤海饲料,农林牧渔
sz001314,亿道信息,电子
sz001316,润贝航科,石油石化
sz001317,三羊马,交通运输
sz001318,阳光乳业,食品饮料
sz001319,铭科精技,汽车
sz001322,箭牌家居,轻工制造
sz001323,慕思股份,轻工制造
sz001324,长青科技,机械设备
sz001325,元创股份,基础化工
sz001326,联域股份,家用电器
sz001328,登康口腔,美容护理
sz001330,博纳影业,传媒
sz001331,胜通能源,公用事业
sz001332,锡装股份,机械设备
sz001333,光华股份,基础化工
sz001335,信凯科技,基础化工
sz001336,楚环科技,环保
sz001337,四川黄金,有色金属
sz001338,永顺泰,农林牧渔
sz001339,智微智能,计算机
sz001356,富岭股份,轻工制造
sz001358,兴欣新材,基础化工
sz001359,平安电工,基础化工
sz001360,南矿集团,机械设备
sz001365,天海电子,汽车
sz001366,播恩集团,农林牧渔
sz001367,海森药业,医药生物
sz001368,通达创智,轻工制造
sz001369,双欣材料,基础化工
sz001373,翔腾新材,电子
sz001376,百通能源,公用事业
sz001378,德冠新材,基础化工
sz001379,腾达科技,机械设备
sz001380,华纬科技,汽车
sz001382,新亚电缆,电力设备
sz001386,马可波罗,轻工制造
sz001387,雪祺电气,家用电器
sz001388,信通电子,电力设备
sz001389,广合科技,电子
sz001390,古麒绒材,纺织服饰
sz001391,国货航,交通运输
sz001393,维通利,电力设备
sz001395,亚联机械,机械设备
sz001396,誉帆科技,建筑装饰
sz001399,惠科股份,电子
sz001400,江顺科技,机械设备
sz001696,宗申动力,机械设备
sz001872,招商港口,交通运输
sz001896,豫能控股,公用事业
sz001914,招商积余,房地产
sz001965,招商公路,交通运输
sz001979,招商蛇口,房地产
sz002001,新 和 成,基础化工
sz002003,伟星股份,纺织服饰
sz002004,华邦健康,医药生物
sz002005,德豪润达,家用电器
sz002006,精工科技,机械设备
sz002007,华兰生物,医药生物
sz002008,大族激光,机械设备
sz002009,天奇股份,机械设备
sz002010,传化智联,交通运输
sz002011,盾安环境,家用电器
sz002012,凯恩股份,轻工制造
sz002013,中航机电,-
sz002014,永新股份,轻工制造
sz002015,协鑫能科,公用事业
sz002016,世荣兆业,房地产
sz002017,东信和平,通信
sz002019,亿帆医药,医药生物
sz002020,京新药业,医药生物
sz002021,中捷资源,机械设备
sz002022,科华生物,医药生物
sz002023,海特高新,国防军工
sz002025,航天电器,国防军工
sz002026,山东威达,机械设备
sz002027,分众传媒,传媒
sz002028,思源电气,电力设备
sz002029,七 匹 狼,纺织服饰
sz002030,达安基因,医药生物
sz002031,巨轮智能,机械设备
sz002032,苏 泊 尔,家用电器
sz002033,丽江股份,社会服务
sz002034,旺能环境,环保
sz002035,华帝股份,家用电器
sz002036,联创电子,电子
sz002037,保利联合,基础化工
sz002038,双鹭药业,医药生物
sz002039,黔源电力,公用事业
sz002040,南 京 港,交通运输
sz002041,登海种业,农林牧渔
sz002042,华孚时尚,纺织服饰
sz002043,兔 宝 宝,建筑材料
sz002044,美年健康,医药生物
sz002045,国光电器,电子
sz002046,国机精工,机械设备
sz002047,宝鹰股份,建筑装饰
sz002048,宁波华翔,汽车
sz002049,紫光国微,电子
sz002050,三花智控,家用电器
sz002051,中工国际,建筑装饰
sz002052,同洲电子,电力设备
sz002053,云南能投,公用事业
sz002054,德美化工,基础化工
sz002056,横店东磁,电力设备
sz002057,中钢天源,社会服务
sz002058,紫竹高科,电力设备
sz002059,云南旅游,社会服务
sz002060,广东建工,建筑装饰
sz002061,浙江交科,建筑装饰
sz002062,宏润建设,建筑装饰
sz002063,远光软件,计算机
sz002064,华峰化学,基础化工
sz002065,东华软件,计算机
sz002066,瑞泰科技,建筑材料
sz002067,景兴纸业,轻工制造
sz002068,黑猫股份,基础化工
sz002069,獐子岛,农林牧渔
sz002072,凯瑞德,商贸零售
sz002073,软控股份,机械设备
sz002074,国轩高科,电力设备
sz002075,沙钢股份,钢铁
sz002076,星光股份,家用电器
sz002077,大港股份,电子
sz002078,太阳纸业,轻工制造
sz002079,苏州固锝,电力设备
sz002080,中材科技,建筑材料
sz002081,金 螳 螂,建筑装饰
sz002083,孚日股份,纺织服饰
sz002084,海鸥住工,轻工制造
sz002085,万丰奥威,汽车
sz002086,东方海洋,农林牧渔
sz002088,鲁阳节能,建筑材料
sz002090,金智科技,电力设备
sz002091,江苏国泰,商贸零售
sz002092,中泰化学,基础化工
sz002093,国脉科技,社会服务
sz002094,青岛金王,美容护理
sz002095,生 意 宝,传媒
sz002096,易普力,基础化工
sz002097,山河智能,机械设备
sz002098,浔兴股份,纺织服饰
sz002099,海翔药业,医药生物
sz002100,天康生物,农林牧渔
sz002101,广东鸿图,汽车
sz002103,广博股份,轻工制造
sz002104,恒宝股份,通信
sz002105,信隆健康,汽车
sz002106,莱宝高科,电子
sz002107,沃华医药,医药生物
sz002108,沧州明珠,基础化工
sz002110,三钢闽光,钢铁
