code,name,price,cjb30,b30v100,veab,precip,m5,m10,m20,mainflow,jumbo,small,vol,lv,sig,phase,mode,matching,grade,greason,score
002952,亚世光电,18.96,3.2,0.23,-0.6,-2.41,-9348532,-11906841,48357006,-2251054,154930,4895874,缩量,低,情绪退潮,观望,长线吸筹型,,D,回避：资金观望,-0.8
002946,新乳业,14.43,-67.4,2.16,-30.4,-5.0,-13968120,2497050,-10068640,3096882,2803408,-1728389,缩量,低,情绪退潮,吸筹,资金观望型,机构吸筹+盈利(关注),C,谨慎：资金流入未验证业绩,22.3
002953,日丰股份,10.48,32.8,1.18,-21.7,-7.31,-54433133,19298794,79009982,-5264013,682457,11710540,缩量,低,情绪退潮,观望,高位分歧型,,D,回避：资金观望,-2.4
002957,科瑞技术,41.83,19.9,0.45,5.2,3.41,107219628,186205592,79139260,-57205139,-55125791,42677312,缩量,低,情绪退潮,观望,趋势转多型,,D,回避：资金观望,1.1
002959,小熊电器,31.61,-65.3,0.66,-14.4,-1.8,-1249726,-5112212,-10875480,-647178,-868580,1306789,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.6
002960,青鸟智控,8.37,-51.6,0.5,18.1,3.51,8574362,-7777043,-27308182,-1761862,1517872,3681077,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,1.2
002962,五方光电,13.39,-57.4,0.56,31.0,-0.22,-1266141,1433794,-18513206,5618527,1210461,6790136,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.1
002965,祥鑫科技,28.28,-74.9,6.14,-25.9,-6.09,-64362027,-143897069,-338865085,1160086,-4617460,6617874,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-2.0
002967,广电计量,16.97,-64.5,0.4,4.7,-2.36,-6726321,-4140870,-31740156,-4433982,-2940566,1700337,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.8
002966,苏州银行,9.03,-47.3,1.91,9.2,-0.31,-5060883,-136572348,-62354879,1565803,963842,486027,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.1
002955,鸿合科技,36.48,-32.2,3.67,22.6,0.58,7046094,51218130,73250583,8391603,3146652,-10215182,缩量,低,情绪退潮,进场,均衡流入型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,72.2
002968,新大正,9.3,8.1,0.83,-26.0,-1.31,-2075821,-3440537,313976,2265846,-137918,-372274,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.4
002956,西麦食品,17.29,138.3,2.65,73.2,4.74,28544673,24388570,19648658,5962156,11185389,-31044529,放量,低,游资情绪,抢筹,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,89.6
002958,青农商行,2.96,-24.0,1.01,1.7,-0.36,-4295362,-16187778,-15934152,11405176,12761760,-9489327,缩量,低,情绪退潮,吸筹,资金观望型,机构吸筹+盈利(关注),C,谨慎：资金流入未验证业绩,23.9
002961,瑞达期货,20.71,331.9,0.49,7.1,6.2,81043192,92534084,127780602,-17963747,-25906840,14609459,放量,中,主力偏强放量,进场,均衡流入型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,90.1
002969,嘉美包装,11.27,-69.7,0.47,55.6,-6.94,-80333504,149522798,25732653,-16532885,-7826997,23708558,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-2.3
002963,豪尔赛,19.9,62.6,1.3,-39.5,4.36,25724412,116857183,169767653,3862953,-229120,-729320,放量,低,游资情绪,进场,主力建仓型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,21.5
002970,锐明技术,43.6,-50.2,0.48,74.0,-7.45,-52683636,21900111,-23625598,2438315,-312705,-6057628,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-2.5
002972,科安达,13.13,-48.2,1.56,81.1,1.97,8859125,53566894,44513480,-1091067,-2132527,4755257,缩量,低,情绪退潮,观望,趋势转多型,,D,回避：资金观望,0.7
002971,和远气体,38.8,-55.3,3.16,-27.6,1.8,43421656,-81245719,353183197,-24129276,-3931222,46918060,缩量,低,情绪退潮,观望,长线吸筹型,,D,回避：资金观望,0.6
