code,name,price,cjb30,b30v100,veab,precip,m5,m10,m20,mainflow,jumbo,small,vol,lv,sig,phase,mode,matching,grade,greason,score
000017,深中华A,7.69,526.4,1.86,-48.4,-2.12,-56446341,-191250102,-453112896,-48829711,-17386838,86015666,放量,低,游资情绪,观望,资金撤退型,,D,回避：资金撤退,7.3
000020,深华发Ａ,13.59,232.4,0.43,30.5,3.7,29714026,40577126,36139247,-4906634,-2813332,7295969,放量,低,游资情绪,观望,趋势转多型,,D,回避：资金观望,9.2
000008,神州高铁,2.38,-19.6,0.64,-15.4,2.31,6925576,-12112290,-40445944,-9202020,-7970937,1179345,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.8
000021,深科技,36.91,-76.4,3.76,36.9,0.72,105066986,-120743117,-899827444,-60496953,-27053284,101796801,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.2
000019,深粮控股,6.96,152.9,0.23,-18.0,-1.47,-14029946,136003036,154361906,7238867,614666,-7597402,放量,低,游资情绪,观望,资金观望型,,D,回避：资金观望,7.5
000012,南  玻Ａ,3.77,-46.9,1.5,49.3,0.61,2844222,-9253934,-2749302,-936620,-2423275,-2034154,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.2
000007,全新好,11.61,-29.7,0.81,-37.5,0.85,2867582,-9545067,-71973388,-9112997,-6512508,6328359,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.3
000009,中国宝安,7.0,-75.9,0.82,-25.3,1.1,4430590,-11130452,2712112,54860,184073,-3658748,缩量,低,情绪退潮,进场,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,72.4
000006,深振业Ａ,7.24,65.0,0.53,-27.7,-0.76,-6078857,-33302573,-26653398,1682092,6596685,5788548,放量,低,游资情绪,抢筹,资金观望型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,27.7
000014,沙河股份,10.82,4.7,0.99,-44.3,-0.79,-2826761,-19126004,-21667399,4746826,5882139,-5178042,缩量,低,情绪退潮,吸筹,资金撤退型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,3.7
000001,平安银行,11.6,-16.2,0.67,-14.2,6.65,312410835,293862790,443021349,17587643,37667651,14744369,缩量,中,主力惜售,进场,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,86.2
000002,万  科Ａ,3.92,865.5,1.01,131.3,6.79,804579873,671909622,727364333,471223501,564384742,-241917271,放量,中,主力偏强放量,抢筹,资金观望型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,38.3
000011,深物业A,9.59,83.6,1.76,-40.6,-0.03,-250557,-25958782,42973005,9395325,317726,-8797010,放量,低,游资情绪,抢筹,长线吸筹型,机构吸筹+盈利(关注),C,谨慎：资金流入未验证业绩,48.0
