code,name,price,cjb30,b30v100,veab,precip,m5,m10,m20,mainflow,jumbo,small,vol,lv,sig,phase,mode,matching,grade,greason,score
000009,中国宝安,6.97,-67.1,1.2,-36.1,-3.81,-15561042,-20363984,-26929404,3595602,3602838,1829394,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.3
000006,深振业Ａ,6.74,-52.0,0.44,-37.5,-7.16,-27223716,-10297545,-25876737,-6137736,-6799148,924880,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-2.4
000014,沙河股份,10.05,-50.8,0.95,-42.1,-7.03,-16299243,-16910830,-21611945,704925,563805,-2524239,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-2.3
000011,深物业A,8.39,-4.5,2.3,37.7,-4.09,-25708225,6360212,50738038,-4403672,1236028,6369140,缩量,低,情绪退潮,观望,高位分歧型,,D,回避：资金观望,-1.4
000007,全新好,11.19,-34.5,1.25,-29.9,-2.98,-12412649,-44862221,43059608,2914849,-870530,-874678,缩量,低,情绪退潮,观望,长线吸筹型,,D,回避：资金观望,-1.0
000002,万  科Ａ,3.03,-56.2,1.32,-1.5,-9.1,-132670251,-122889518,-52552774,246708,-4078142,389894,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-3.0
000001,平安银行,11.7,-14.0,1.6,-18.5,-0.38,-18548045,-158856786,183813691,23976268,-29805662,-97089000,缩量,低,情绪退潮,观望,长线吸筹型,,D,回避：资金观望,-0.1
000012,南  玻Ａ,3.73,-70.7,4.42,28.4,-2.62,-12098156,-1129175,-19985622,158960,-946599,3528510,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.9
000017,深中华A,7.5,301.4,1.69,-27.7,-6.26,-134803761,-208248454,-272395362,-12227337,-9665278,24073919,放量,低,游资情绪,观望,资金撤退型,,D,回避：资金撤退,5.9
000008,神州高铁,2.4,-46.2,0.4,-37.4,-6.18,-19037866,-39831330,-26057886,4381236,8656355,-1969110,缩量,低,情绪退潮,吸筹,资金观望型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,1.9
000019,深粮控股,6.74,248.8,0.15,25.7,9.77,150032982,72174222,151696701,-2384200,-1264215,2819205,放量,中,主力偏强放量,进场,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,91.3
000021,深科技,36.2,-58.8,5.2,-2.1,-1.56,-225810103,-728058283,-2324093333,342196675,301095193,-259608900,缩量,低,情绪退潮,吸筹,资金撤退型,机构吸筹+盈利(关注),C,谨慎：资金流入未验证业绩,23.5
000020,深华发Ａ,12.72,213.2,0.48,-27.5,1.1,10863100,27728323,-11537781,2988168,3122634,19975848,放量,低,游资情绪,进场,趋势转多型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,80.4
000026,飞亚达,18.95,-48.0,0.46,-3.3,-4.62,-26411363,-795724,18874579,7263162,3374968,-8981823,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.5
000027,深圳能源,6.37,-28.5,0.64,-6.6,-1.43,-11130573,-12183565,-58579134,-5647943,-13683594,8237667,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.5
