code,name,price,cjb30,b30v100,veab,precip,m5,m10,m20,mainflow,jumbo,small,vol,lv,sig,phase,mode,matching,grade,greason,score
000012,南  玻Ａ,3.72,-67.8,3.89,46.3,-2.12,-9386405,-2963387,-4309977,-957800,-1562636,-3501754,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.7
000007,全新好,11.33,-34.5,1.52,-19.0,2.67,8745205,-44971246,-6749856,-7173568,-8996675,899250,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.9
000001,平安银行,11.7,-21.8,0.91,-22.2,-1.59,-74668880,-171594414,129479937,39874288,23502563,3084527,缩量,低,情绪退潮,观望,长线吸筹型,,D,回避：资金观望,-0.5
000009,中国宝安,7.0,-69.8,1.28,-36.5,-0.64,-2338441,-13349809,-22970036,-3134940,-3676570,3072298,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.2
000021,深科技,36.95,-54.8,4.79,17.7,-2.17,-305299530,-360256214,-1320512298,270990367,206825593,-238734455,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.7
000011,深物业A,9.14,55.0,2.65,-6.3,-2.16,-13810802,20095734,45179686,738615,-4371903,2699168,放量,低,游资情绪,观望,资金观望型,,D,回避：资金观望,7.3
000019,深粮控股,7.15,597.3,0.19,26.4,-2.6,-26780266,115976974,194566971,9316212,4097075,-7496864,放量,低,游资情绪,观望,高位分歧型,,D,回避：资金观望,7.1
000017,深中华A,7.51,354.5,1.64,-35.5,-4.26,-87830106,-201342156,-329013885,-19687987,-17207687,-3690,放量,低,游资情绪,观望,资金撤退型,,D,回避：资金撤退,6.6
000014,沙河股份,10.45,-27.2,1.07,-44.3,-2.86,-6541678,-11854275,-22284407,1393460,1042214,991499,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.0
000008,神州高铁,2.4,-47.8,0.49,-35.1,-1.98,-5350639,-14202541,-36579188,1279300,1723348,-1428235,缩量,低,情绪退潮,吸筹,资金撤退型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,3.3
000002,万  科Ａ,3.32,220.7,1.36,-14.1,-2.92,-64686691,-176947427,-104142708,549218453,604292436,-339876297,放量,低,游资情绪,抢筹,资金观望型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,27.0
000020,深华发Ａ,12.96,230.7,0.44,-10.0,1.77,12600869,34463505,21515377,7545985,1287696,-15582747,放量,低,游资情绪,进场,趋势转多型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,80.6
000006,深振业Ａ,7.06,-25.2,0.48,-37.8,-5.44,-20546789,-11782108,-20238011,7290242,8971084,-2154694,缩量,低,情绪退潮,吸筹,资金观望型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,2.2
000025,特  力Ａ,14.73,-42.7,1.41,-70.9,-10.31,-26025717,-68805673,-62733347,3022184,1168824,-4034680,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-3.4
000027,深圳能源,6.29,-28.1,0.54,-12.2,-3.7,-27303063,-13676869,-55926170,-13797746,-4406883,13079229,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.2
000028,国药一致,19.82,-49.4,0.61,-17.7,-8.7,-11547074,-25612905,-34323918,153707,-785500,-4226998,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-2.9
000026,飞亚达,19.79,3.8,0.43,-10.2,-1.93,-11371591,22406626,67267567,22186275,14487719,-17048217,缩量,低,情绪退潮,观望,高位分歧型,,D,回避：资金观望,-0.6
000029,深深房Ａ,22.27,-10.6,1.91,-16.0,-10.87,-45600729,-75961973,-101947953,1147813,4523137,7244710,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-3.6
000037,深南电A,9.4,-36.9,0.47,75.4,0.31,4747351,-370528,-12003051,-8452405,-2044586,10029017,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.1
000030,富奥股份,3.95,-12.2,0.28,-19.0,-1.51,-2993499,-8435735,-23148299,51849,-3423272,-2167440,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.5
000032,深桑达Ａ,14.63,-58.6,3.27,-13.0,3.39,75246786,-63361073,-39838641,-16506221,-9253973,32395855,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,1.1
000039,中集集团,9.15,-28.6,0.54,-32.9,-0.34,-3571102,33083763,-63711525,-13126955,-19461091,9028923,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.1
000036,华联控股,3.9,-41.1,0.83,-28.2,0.34,1037995,1486306,8912385,9789058,3658232,-3894532,缩量,低,情绪退潮,进场,均衡流入型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,72.1
